numprocesso;ano;modalidade;tipoveiculopublicacao;descricao;nredicao;datapublicacao
4;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;www.documentos.dioe.pr.gov.br;11832;2025-02-11
7;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br;11826;2025-02-03
9;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11843;2025-02-26
10;2025;Licitação Eletrônica - Estatal;Outros Veículos de Publicação;http://www.comprasparana.pr.gov.br;;2025-03-28
10;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;www.documentos.dioe.pr.gov.br;11862;2025-03-28
10;2025;Licitação Eletrônica - Estatal;Endereço Eletrônico;www.licitacoes-e.com.br;;2025-03-28
11;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br;11832;2025-02-11
12;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;www.imprensaoficial.pr.gov.br;11861;2025-03-27
13;2025;Licitação Eletrônica - Estatal;Endereço Eletrônico;www.transparencia.pr.gov.br/;;2025-03-31
13;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;www.imprensaoficial.pr.gov.br;11863;2025-03-31
14;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br;11836;2025-02-17
15;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br;11837;2025-02-18
16;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br;11837;2025-02-18
17;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br;11842;2025-02-25
18;2025;Licitação Eletrônica - Estatal;Endereço Eletrônico;https://www.transparencia.pr.gov.br/;;2025-03-26
18;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11860;2025-03-26
19;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br;11846;2025-03-06
20;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;www.imprensaoficial.pr.gov.br;11899;2025-05-27
23;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br;11858;2025-03-24
24;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br;11859;2025-03-25
27;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;www.imprensaoficial.pr.gov.br;11891;2025-05-15
28;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;https://www.transparencia.pr.gov.br/;11912;2025-06-13
29;2025;Licitação Eletrônica - Estatal;Outros Veículos de Publicação;www.administracao.pr.gov.br/Compras;;2025-04-30
29;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;www.documentos.dioe.pr.gov.br;11882;2025-04-30
29;2025;Licitação Eletrônica - Estatal;Endereço Eletrônico;www.licitacoes-e.com.br;;2025-04-30
30;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11864;2025-04-01
31;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br;11866;2025-04-03
32;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;;11868;2025-04-07
33;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;www.imprensaoficial.pr.gov.br;11899;2025-05-30
34;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br;11869;2025-04-08
35;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11873;2025-04-14
37;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;https://www.transparencia.pr.gov.br/;11909;2025-06-10
38;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br;11883;2025-05-05
39;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br;11885;2025-05-07
40;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11931;2025-07-14
40;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11917;2025-06-24
42;2025;Licitação Eletrônica - Estatal;Outros Veículos de Publicação;www.administracao.pr.gov.br/Compras;;2025-05-30
42;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;www.documentos.dioe.pr.gov.br;11902;2025-05-30
42;2025;Licitação Eletrônica - Estatal;Endereço Eletrônico;www.licitacoes-e.com.br;;2025-05-30
44;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11906;2025-06-05
45;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;www.imprensaoficial.pr.gov.br;11927;2025-07-08
46;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br;11908;2025-06-09
47;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11909;2025-06-10
48;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;www.imprensaoficial.pr.gov.br;11945;2025-08-01
50;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br;11912;2025-06-13
51;2025;Licitação Eletrônica - Estatal;Outros Veículos de Publicação;www.administracao.pr.gov.br/Compras;;2025-07-02
51;2025;Licitação Eletrônica - Estatal;Endereço Eletrônico;www.licitacoes-e.com.br;;2025-07-02
51;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;www.documentos.dioe.pr.gov.br;11293;2025-07-02
52;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11936;2025-07-21
53;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11918;2025-06-25
54;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11927;2025-07-08
55;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11937;2025-07-22
56;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;www.imprensaoficial.pr.gov.br;11945;2025-08-01
57;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br;11925;2025-07-04
59;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11927;2025-07-08
61;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br;11950;2025-08-08
63;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br;11946;2025-08-04
65;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br;11950;2025-08-08
2;2025;Pregão Eletrônico;Diário Oficial do Estado;www.imprensaoficial.pr.gov.br;10552;2019-10-28
5;2025;Pregão Eletrônico;Diário Oficial do Estado;www.pr.gov.br/dioe;11065;2021-11-30
7;2025;Pregão Eletrônico;Diário Oficial do Estado;www.pr.gov.br/dioe;11303;2022-11-30
8;2025;Pregão Eletrônico;Diário Oficial do Estado;www.pr.gov.br/dioe;10324;2018-11-29
10;2025;Pregão Eletrônico;Diário Oficial do Estado;www.pr.gov.br/dioe;11065;2021-11-30
14;2025;Pregão Eletrônico;Diário Oficial do Estado;www.imprensaoficial.pr.gov.br;11303;2022-11-30
16;2025;Pregão Eletrônico;Diário Oficial do Estado;www.imprensaoficial.pr.gov.br;11823;2025-01-29
18;2025;Pregão Eletrônico;Outros Veículos de Publicação;https://www.bemparana.com.br/publicidade-legal/;12593;2025-02-18
