cod_ibge,municipio,ano,populacao,total_despesas,total_pc,saude,educacao,administracao,saude_prop,educacao_prop,hhi,n_funcoes_declaradas,flag_negativo,score_if,score_lof,score,classe
4113734,Luiziana,2025,6659,71228917.52,10696.638762576962,17011755.98,14868331.1,7936497.67,0.2388321565496676,0.2087400962653293,0.14251252004100254,15,False,0.25730704297384893,0.01237882223566237,0.1593357546785743,Regular
4113759,Lunardelli,2020,4744,18521342.940000005,3904.161665261384,4945045.16,4188801.32,2883692.44,0.2669917173943327,0.22616077751865216,0.17329638109530876,14,False,0.12309159887709378,0.005494921908725837,0.0760529280897466,Regular
4113759,Lunardelli,2021,4695,23304509.54,4963.686802981895,5836298.73,4513410.17,3892794.05,0.25043645393963526,0.19367110739889873,0.1534527803355274,17,False,0.11127712082761626,0.004424841812903234,0.06853620922173105,Regular
4113759,Lunardelli,2022,4764,33620197.89,7057.136416876574,7299454.55,7235500.44,4172782.75,0.21711515720052174,0.21521290456627948,0.14580338276637103,16,False,0.14598830990009792,0.005157161039427137,0.08965585035582961,Regular
4113759,Lunardelli,2023,4833,34971453.4,7235.972149803434,8392691.58,7817461.08,4436184.62,0.239986925450459,0.22353835256958465,0.14625937320916935,16,False,0.2816716110537488,0.053982531875719,0.1905959793825369,Regular
4113759,Lunardelli,2024,4902,45291659.53,9239.42462872297,9507960.27,8966182.4,5206410.33,0.20992739874550584,0.19796541997011696,0.1515883971675643,15,False,0.3151050238682744,0.014178419276128704,0.1947343820314161,Regular
4113809,Lupionópolis,2020,4945,19888171.720000003,4021.874968655208,6504009.19,3793271.68,4453318.09,0.32702901410788904,0.1907300345856024,0.21015319747797478,11,False,0.09724240333713281,0.01813573089055969,0.06559973435850357,Regular
4113809,Lupionópolis,2021,4969,20530944.66,4131.806130006037,7566193.77,3752139.33,4529080.97,0.36852633404351104,0.18275531847836562,0.2317557602471825,10,False,0.11291743308142575,0.01550591685725715,0.07395282659175831,Regular
4113809,Lupionópolis,2022,4950,26899657.35,5434.274212121212,8786270.0,5957439.92,5340727.87,0.32663129814923086,0.22146898908361,0.20703862974715045,12,False,0.09491528907795971,0.01266304817468426,0.062014392716649526,Regular
4113809,Lupionópolis,2023,4930,35401772.809999995,7180.886979716023,10086178.06,7891991.78,6444069.57,0.28490601626455675,0.2229264568855359,0.18708704028546047,13,False,0.12236487128231006,0.012407604183696989,0.07838196444286484,Regular
4113809,Lupionópolis,2024,4911,38827955.139999986,7906.323587863976,11428302.62,7730647.13,6610862.3,0.2943318178563241,0.1991000324927233,0.18479164877982776,13,False,0.07179613364400947,0.020712365209607876,0.05136262627024883,Regular
4113908,Mallet,2020,13663,45011641.32999999,3294.4185998682565,11131976.83,9264337.43,5398937.87,0.24731328387664467,0.20582092001664853,0.1566060807527801,16,False,0.07649272992038106,0.0019666934749666856,0.04668231534221531,Regular
4113908,Mallet,2021,13697,48767096.02,3560.421699642258,14430333.93,10814052.83,6766365.37,0.29590308030812285,0.2217489601095997,0.1752423177139655,16,False,0.09057395439170231,0.0022360489568223675,0.055238792217750333,Regular
4113908,Mallet,2022,13683,73689601.34000002,5385.48573704597,17555948.46,17125153.83,6916211.53,0.238241870504873,0.23239579965951263,0.173211432699828,15,False,0.17538549389390232,0.02628894587172534,0.11574687468503153,Regular
4113908,Mallet,2023,13669,77905012.68999998,5699.393714975491,20890473.49,17241410.82,8143017.22,0.2681531363473038,0.22131324063327104,0.18019347580060338,15,False,0.10440904737286785,0.0026747478972007225,0.063715327582601,Regular
4113908,Mallet,2024,13655,84469396.75999999,6185.968272427682,23744805.52,19553617.32,8831230.24,0.28110542315657,0.231487592785314,0.18283591887751457,15,False,0.1772203620267105,0.009047130836006822,0.10995106955042902,Regular
4114005,Mamborê,2020,13014,54863550.89,4215.733125096051,15451754.81,10724937.52,10631409.42,0.28163971451611597,0.19548383846869885,0.18073924785677312,17,False,0.05050969011469326,0.009792467842914168,0.03422280120598162,Regular
4114005,Mamborê,2021,12900,59698437.50000001,4627.785852713178,18340105.82,12073825.09,10829351.63,0.30721249312429655,0.20224691961158947,0.18474971141199778,17,False,0.08717136781716467,0.04060269851394278,0.06854390009587591,Regular
4114005,Mamborê,2022,13124,79150508.54999998,6030.974439957328,21159392.13,16537545.72,13181428.64,0.2673310951202979,0.2089379591231951,0.16354391000743246,20,False,0.09280028621372635,0.032291683021857885,0.06859684493697897,Regular
4114005,Mamborê,2023,13348,87922372.52,6586.932313455199,24362178.47,18271035.14,16814135.75,0.2770873643617642,0.20780871371326823,0.16860196893182733,20,False,0.10545246346241198,0.02253182186139448,0.07228420682200497,Regular
4114005,Mamborê,2024,13572,97168404.24999999,7159.475703654582,29775172.09,19029716.25,16351848.15,0.3064285383692509,0.19584263420689038,0.17247453907554,20,False,0.13722354231766845,0.05104332183580266,0.10275145412492213,Regular
4114005,Mamborê,2025,13551,111834968.37000002,8252.89413106044,36933856.12,23000050.07,17739948.27,0.33025319949844584,0.20566063016985495,0.18631808050623042,19,False,0.1588385856157285,0.031453488159269995,0.10788454663314509,Regular
